,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
228,1912704,0.76,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,8,180.0,3,60,True,2,3,5.0,False,90.0,540.0,0.08,0.2,0.24,4.99,0.5013698630136987,830.0410958904109
229,1919184,0.75,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,3,2,2,12,299.0,2,10,True,10,0,4.54,False,99.7,598.0,0.08,0.29,0.2,4.99,0.9310344827586207,1386.2068965517242
230,1924485,0.76,False,De Pijp - Rivierenbuurt,52.34,4.89,Private room,4,1,1,1,95.0,3,101,True,0,0,4.92,True,23.75,285.0,0.05,0.12,0.14,4.99,0.0,474.972602739726
231,1927634,0.81,False,Oostelijk Havengebied - Indische Buurt,52.38,4.934,Entire home/apt,4,2,2,14,482.0,8,30,True,0,0,4.69,True,120.5,3856.0,0.07,0.16,0.22,10.99,0.0,2368.904109589041
232,1928474,0.44,False,Noord-West,52.4,4.902,Entire home/apt,6,3,3,5,130.0,4,21,True,0,0,4.75,False,21.67,520.0,0.07,0.19,0.18,4.99,0.31232876712328766,822.3835616438356
233,1929777,0.8,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,4,2,2,8,230.0,3,100,True,0,0,4.97,False,57.5,690.0,0.06,0.16,0.24,4.99,0.0,1150.0
234,1954182,0.2,False,De Baarsjes - Oud-West,52.38,4.87,Entire home/apt,2,1,1,5,150.0,14,109,True,0,0,4.9,False,75.0,2100.0,0.09,0.14,0.23,4.99,0.0,750.0
235,1954308,0.0,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,3,2,2,7,130.0,4,101,True,0,0,4.71,False,43.34,520.0,0.06,0.11,0.13,4.99,0.0,650.0
236,1957337,0.0,False,Oud-Oost,52.34,4.918,Entire home/apt,4,2,2,8,275.0,3,14,True,0,0,5.0,False,68.75,825.0,0.09,0.19,0.18,4.99,0.06027397260273973,1375.0
237,1964479,0.56,False,Oud-Noord,52.38,4.918,Entire home/apt,4,2,2,13,350.0,3,101,True,0,0,4.75,False,87.5,1050.0,0.09,0.08,0.26,4.99,0.28493150684931506,1750.0
238,1977828,0.75,False,Bos en Lommer,52.38,4.855,Entire home/apt,3,2,2,1,75.0,3,101,True,0,0,4.74,False,25.0,225.0,0.07,0.13,0.17,4.99,0.0,519.972602739726
239,2023961,0.0,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,8,114.0,4,30,True,0,0,4.86,False,57.0,456.0,0.06,0.08,0.2,4.99,0.0,571.2328767123288
240,2065321,0.27,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,2,1,1,7,170.0,3,15,True,0,1,4.83,False,85.0,510.0,0.08,0.19,0.12,4.99,0.01643835616438356,850.0
241,2074047,1.0,False,Westerpark,52.38,4.87,Entire home/apt,4,2,2,12,185.0,6,30,True,0,0,4.95,False,46.25,1110.0,0.07,0.12,0.21,4.99,0.2821917808219178,918.8356164383562
242,2080040,0.54,True,Zuid,52.34,4.848,Entire home/apt,3,2,2,12,134.0,7,101,True,9,1,4.51,False,44.66,938.0,0.07,0.07,0.18,4.99,0.4904109589041096,825.5890410958904
243,2080427,1.0,False,Oud-Oost,52.34,4.914,Entire home/apt,2,1,1,6,102.0,6,15,True,0,0,4.47,False,51.0,612.0,0.07,0.15,0.15,4.99,0.0,510.0
244,2088011,1.0,False,Oud-Oost,52.38,4.93,Entire home/apt,2,1,1,4,150.0,3,30,True,0,1,5.0,False,75.0,450.0,0.06,0.19,0.15,4.99,0.0,750.0
245,2097548,0.33,False,Noord-West,52.4,4.918,Entire home/apt,4,2,2,6,150.0,3,21,True,0,0,4.89,False,37.5,450.0,0.07,0.25,0.25,4.99,0.03561643835616438,754.5205479452055
246,2116479,0.63,False,Westerpark,52.38,4.867,Entire home/apt,2,1,1,3,125.0,3,10,True,0,0,4.48,False,62.5,375.0,0.06,0.14,0.15,4.99,0.0,625.0
247,2116719,0.31,False,Oud-Noord,52.4,4.93,Entire home/apt,4,2,2,10,205.0,2,3,True,0,0,4.67,False,51.25,410.0,0.11,0.21,0.27,4.99,0.0,1096.6986301369864
248,2144304,0.8,False,Zuid,52.34,4.88,Entire home/apt,6,3,3,17,466.0,3,101,True,0,0,4.89,True,77.7,1398.0,0.03,0.25,0.22,10.99,0.019178082191780823,2330.0
249,2144308,0.86,False,Noord-West,52.4,4.918,Entire home/apt,2,1,1,8,90.0,3,101,True,0,0,4.84,True,45.0,270.0,0.06,0.13,0.16,4.99,0.0,451.64383561643837
